Date, Waste 
2018-08-21,0.00
2018-08-22,0.00
2018-08-23,4.38
2018-08-24,4.20
2018-08-25,0.00
2018-08-26,0.00
2018-08-27,0.00
2018-08-28,3.48
2018-08-29,8.04
2018-08-30,0.00
2018-08-31,1.10
2018-09-01,4.28
2018-09-02,10.13
2018-09-03,0.00
2018-09-04,0.00
2018-09-05,0.00
2018-09-06,0.00
2018-09-07,1.47
2018-09-08,1.46
2018-09-09,6.53
2018-09-10,7.51
2018-09-11,1.26
2018-09-12,2.01
2018-09-13,0.00
2018-09-14,0.00
2018-09-15,0.00
2018-09-16,0.34
2018-09-17,3.28
2018-09-18,0.00
2018-09-19,0.12
2018-09-20,5.08
2018-09-21,5.32
2018-09-22,2.18
2018-09-23,0.00
2018-09-24,0.00
2018-09-25,0.00
2018-09-26,0.00
2018-09-27,0.00
2018-09-28,0.00
2018-09-29,0.00
2018-09-30,4.39
2018-10-01,2.23
2018-10-02,6.27
2018-10-03,5.79
2018-10-04,8.70
2018-10-05,8.48
2018-10-06,0.00
2018-10-07,0.00
2018-10-08,0.00
2018-10-09,0.00
2018-10-10,0.00
2018-10-11,0.00
2018-10-12,1.40
2018-10-13,4.84
2018-10-14,15.69
2018-10-15,0.48
2018-10-16,3.34
2018-10-17,2.49
2018-10-18,4.95
2018-10-19,5.80
2018-10-20,1.37
2018-10-21,2.43
2018-10-22,1.81
2018-10-23,7.45
2018-10-24,0.00
2018-10-25,0.00
2018-10-26,6.01
2018-10-27,4.30
2018-10-28,0.10
2018-10-29,0.00
2018-10-30,0.00
2018-10-31,0.00
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,0.00
2018-11-04,0.00
2018-11-05,0.00
2018-11-06,0.00
2018-11-07,19.62
2018-11-08,5.11
2018-11-09,4.24
2018-11-10,0.00
2018-11-11,0.00
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,6.61
2018-11-15,7.36
2018-11-16,0.00
2018-11-17,0.00
2018-11-18,4.30
2018-11-19,18.08
2018-11-20,2.68
2018-11-21,8.29
2018-11-22,9.17
2018-11-23,6.96
2018-11-24,0.73
2018-11-25,1.60
2018-11-26,0.00
2018-11-27,0.00
2018-11-28,0.00
2018-11-29,0.00
2018-11-30,5.15
2018-12-01,0.00
2018-12-02,6.45
2018-12-03,0.00
2018-12-04,2.79
2018-12-05,6.07
2018-12-06,11.66
2018-12-07,9.52
2018-12-08,10.47
2018-12-09,3.06
2018-12-10,5.81
2018-12-11,1.89
2018-12-12,0.49
2018-12-13,0.19
2018-12-14,0.00
2018-12-15,2.73
2018-12-16,0.20
2018-12-17,0.00
2018-12-18,8.08
2018-12-19,0.00
2018-12-20,12.88
2018-12-21,12.82
2018-12-22,3.42
2018-12-23,2.93
2018-12-24,0.00
2018-12-25,0.00
2018-12-26,0.00
2018-12-27,0.00
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,0.00
2019-01-01,0.00
2019-01-02,1.84
2019-01-03,11.81
2019-01-04,10.82
2019-01-05,0.09
2019-01-06,0.00
2019-01-07,0.00
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,0.00
2019-01-14,10.30
2019-01-15,0.00
2019-01-16,7.72
2019-01-17,2.41
2019-01-18,8.98
2019-01-19,0.93
2019-01-20,4.93
2019-01-21,1.50
2019-01-22,0.00
2019-01-23,0.00
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,0.00
2019-01-27,0.00
2019-01-28,0.00
2019-01-29,0.00
2019-01-30,0.00
2019-01-31,0.28
2019-02-01,0.00
2019-02-02,0.00
2019-02-03,0.00
2019-02-04,0.00
2019-02-05,0.00
2019-02-06,0.00
2019-02-07,0.00
2019-02-08,0.00
2019-02-09,0.00
2019-02-10,7.08
2019-02-11,0.00
2019-02-12,0.00
2019-02-13,0.00
2019-02-14,2.33
2019-02-15,3.71
2019-02-16,14.12
2019-02-17,0.96
2019-02-18,9.40
2019-02-19,8.48
2019-02-20,1.15
2019-02-21,0.00
2019-02-22,0.00
2019-02-23,0.00
2019-02-24,0.00
2019-02-25,0.00
2019-02-26,0.00
2019-02-27,0.00
2019-02-28,0.00
2019-03-01,0.00
