Date, Demand placed by, Demand 
2018-08-23,Demand by supplier,13.90
2018-08-23,Demand by retailer,13.90
2018-08-23,Demand by customer,16.12
2018-08-24,Demand by supplier,15.45
2018-08-24,Demand by retailer,15.45
2018-08-24,Demand by customer,10.50
2018-08-25,Demand by supplier,11.99
2018-08-25,Demand by retailer,11.99
2018-08-25,Demand by customer,0.00
2018-08-26,Demand by supplier,3.60
2018-08-26,Demand by retailer,3.60
2018-08-26,Demand by customer,5.47
2018-08-27,Demand by supplier,4.91
2018-08-27,Demand by retailer,4.91
2018-08-27,Demand by customer,15.72
2018-08-28,Demand by supplier,12.48
2018-08-28,Demand by retailer,12.48
2018-08-28,Demand by customer,10.26
2018-08-29,Demand by supplier,10.92
2018-08-29,Demand by retailer,10.92
2018-08-29,Demand by customer,9.66
2018-08-30,Demand by supplier,10.04
2018-08-30,Demand by retailer,10.04
2018-08-30,Demand by customer,22.54
2018-08-31,Demand by supplier,18.79
2018-08-31,Demand by retailer,18.79
2018-08-31,Demand by customer,24.00
2018-09-01,Demand by supplier,22.44
2018-09-01,Demand by retailer,22.44
2018-09-01,Demand by customer,9.74
2018-09-02,Demand by supplier,13.55
2018-09-02,Demand by retailer,13.55
2018-09-02,Demand by customer,23.53
2018-09-03,Demand by supplier,15.85
2018-09-03,Demand by retailer,15.85
2018-09-03,Demand by customer,0.00
2018-09-04,Demand by supplier,4.75
2018-09-04,Demand by retailer,4.75
2018-09-04,Demand by customer,0.00
2018-09-05,Demand by supplier,2.52
2018-09-05,Demand by retailer,2.52
2018-09-05,Demand by customer,16.07
2018-09-06,Demand by supplier,12.00
2018-09-06,Demand by retailer,12.00
2018-09-06,Demand by customer,8.17
2018-09-07,Demand by supplier,9.32
2018-09-07,Demand by retailer,9.32
2018-09-07,Demand by customer,14.05
2018-09-08,Demand by supplier,12.63
2018-09-08,Demand by retailer,12.63
2018-09-08,Demand by customer,13.62
2018-09-09,Demand by supplier,13.32
2018-09-09,Demand by retailer,13.32
2018-09-09,Demand by customer,9.37
2018-09-10,Demand by supplier,10.56
2018-09-10,Demand by retailer,10.56
2018-09-10,Demand by customer,14.77
2018-09-11,Demand by supplier,13.51
2018-09-11,Demand by retailer,13.51
2018-09-11,Demand by customer,11.06
2018-09-12,Demand by supplier,12.93
2018-09-12,Demand by retailer,12.93
2018-09-12,Demand by customer,0.00
2018-09-13,Demand by supplier,12.78
2018-09-13,Demand by retailer,12.78
2018-09-13,Demand by customer,11.53
2018-09-14,Demand by supplier,11.91
2018-09-14,Demand by retailer,11.91
2018-09-14,Demand by customer,11.30
2018-09-15,Demand by supplier,11.48
2018-09-15,Demand by retailer,11.48
2018-09-15,Demand by customer,22.83
2018-09-16,Demand by supplier,19.42
2018-09-16,Demand by retailer,19.42
2018-09-16,Demand by customer,2.10
2018-09-17,Demand by supplier,7.30
2018-09-17,Demand by retailer,7.30
2018-09-17,Demand by customer,10.12
2018-09-18,Demand by supplier,9.27
2018-09-18,Demand by retailer,9.27
2018-09-18,Demand by customer,7.03
2018-09-19,Demand by supplier,7.70
2018-09-19,Demand by retailer,7.70
2018-09-19,Demand by customer,9.07
2018-09-20,Demand by supplier,8.66
2018-09-20,Demand by retailer,8.66
2018-09-20,Demand by customer,21.61
2018-09-21,Demand by supplier,17.73
2018-09-21,Demand by retailer,17.73
2018-09-21,Demand by customer,12.65
2018-09-22,Demand by supplier,14.17
2018-09-22,Demand by retailer,14.17
2018-09-22,Demand by customer,6.75
2018-09-23,Demand by supplier,8.98
2018-09-23,Demand by retailer,8.98
2018-09-23,Demand by customer,11.08
2018-09-24,Demand by supplier,10.45
2018-09-24,Demand by retailer,10.45
2018-09-24,Demand by customer,15.36
2018-09-25,Demand by supplier,13.89
2018-09-25,Demand by retailer,13.89
2018-09-25,Demand by customer,3.04
2018-09-26,Demand by supplier,6.30
2018-09-26,Demand by retailer,6.30
2018-09-26,Demand by customer,8.15
2018-09-27,Demand by supplier,11.71
2018-09-27,Demand by retailer,11.71
2018-09-27,Demand by customer,20.80
2018-09-28,Demand by supplier,18.07
2018-09-28,Demand by retailer,18.07
2018-09-28,Demand by customer,15.99
2018-09-29,Demand by supplier,16.62
2018-09-29,Demand by retailer,16.62
2018-09-29,Demand by customer,9.69
2018-09-30,Demand by supplier,11.77
2018-09-30,Demand by retailer,11.77
2018-09-30,Demand by customer,6.66
2018-10-01,Demand by supplier,8.19
2018-10-01,Demand by retailer,8.19
2018-10-01,Demand by customer,8.92
2018-10-02,Demand by supplier,8.70
2018-10-02,Demand by retailer,8.70
2018-10-02,Demand by customer,0.00
2018-10-03,Demand by supplier,6.05
2018-10-03,Demand by retailer,6.05
2018-10-03,Demand by customer,16.60
2018-10-04,Demand by supplier,13.44
2018-10-04,Demand by retailer,13.44
2018-10-04,Demand by customer,12.39
2018-10-05,Demand by supplier,12.70
2018-10-05,Demand by retailer,12.70
2018-10-05,Demand by customer,10.97
2018-10-06,Demand by supplier,11.49
2018-10-06,Demand by retailer,11.49
2018-10-06,Demand by customer,0.92
2018-10-07,Demand by supplier,4.19
2018-10-07,Demand by retailer,4.19
2018-10-07,Demand by customer,5.00
2018-10-08,Demand by supplier,11.33
2018-10-08,Demand by retailer,11.33
2018-10-08,Demand by customer,13.60
2018-10-09,Demand by supplier,16.44
2018-10-09,Demand by retailer,16.44
2018-10-09,Demand by customer,11.80
2018-10-10,Demand by supplier,13.73
2018-10-10,Demand by retailer,13.73
2018-10-10,Demand by customer,6.52
2018-10-11,Demand by supplier,11.17
2018-10-11,Demand by retailer,11.17
2018-10-11,Demand by customer,13.54
2018-10-12,Demand by supplier,12.83
2018-10-12,Demand by retailer,12.83
2018-10-12,Demand by customer,16.57
2018-10-13,Demand by supplier,15.45
2018-10-13,Demand by retailer,15.45
2018-10-13,Demand by customer,5.27
2018-10-14,Demand by supplier,8.33
2018-10-14,Demand by retailer,8.33
2018-10-14,Demand by customer,6.28
2018-10-15,Demand by supplier,6.90
2018-10-15,Demand by retailer,6.90
2018-10-15,Demand by customer,3.91
2018-10-16,Demand by supplier,7.99
2018-10-16,Demand by retailer,7.99
2018-10-16,Demand by customer,1.91
2018-10-17,Demand by supplier,7.64
2018-10-17,Demand by retailer,7.64
2018-10-17,Demand by customer,15.58
2018-10-18,Demand by supplier,13.19
2018-10-18,Demand by retailer,13.19
2018-10-18,Demand by customer,13.57
2018-10-19,Demand by supplier,13.46
2018-10-19,Demand by retailer,13.46
2018-10-19,Demand by customer,12.37
2018-10-20,Demand by supplier,12.70
2018-10-20,Demand by retailer,12.70
2018-10-20,Demand by customer,1.80
2018-10-21,Demand by supplier,10.72
2018-10-21,Demand by retailer,10.72
2018-10-21,Demand by customer,2.68
2018-10-22,Demand by supplier,10.83
2018-10-22,Demand by retailer,10.83
2018-10-22,Demand by customer,9.53
2018-10-23,Demand by supplier,12.39
2018-10-23,Demand by retailer,12.39
2018-10-23,Demand by customer,7.11
2018-10-24,Demand by supplier,12.28
2018-10-24,Demand by retailer,12.28
2018-10-24,Demand by customer,10.84
2018-10-25,Demand by supplier,11.27
2018-10-25,Demand by retailer,11.27
2018-10-25,Demand by customer,5.11
2018-10-26,Demand by supplier,6.96
2018-10-26,Demand by retailer,6.96
2018-10-26,Demand by customer,14.58
2018-10-27,Demand by supplier,12.29
2018-10-27,Demand by retailer,12.29
2018-10-27,Demand by customer,22.60
2018-10-28,Demand by supplier,19.50
2018-10-28,Demand by retailer,19.50
2018-10-28,Demand by customer,20.83
