Date, Demand placed by, Demand 
2018-08-23,Demand by supplier,14.58
2018-08-23,Demand by retailer,13.12
2018-08-23,Demand by customer,16.12
2018-08-24,Demand by supplier,13.48
2018-08-24,Demand by retailer,10.55
2018-08-24,Demand by customer,10.50
2018-08-25,Demand by supplier,11.31
2018-08-25,Demand by retailer,10.52
2018-08-25,Demand by customer,0.00
2018-08-26,Demand by supplier,10.63
2018-08-26,Demand by retailer,3.15
2018-08-26,Demand by customer,5.47
2018-08-27,Demand by supplier,5.22
2018-08-27,Demand by retailer,4.77
2018-08-27,Demand by customer,15.72
2018-08-28,Demand by supplier,4.74
2018-08-28,Demand by retailer,12.44
2018-08-28,Demand by customer,10.26
2018-08-29,Demand by supplier,10.05
2018-08-29,Demand by retailer,10.91
2018-08-29,Demand by customer,9.66
2018-08-30,Demand by supplier,10.55
2018-08-30,Demand by retailer,10.03
2018-08-30,Demand by customer,22.54
2018-08-31,Demand by supplier,10.07
2018-08-31,Demand by retailer,18.79
2018-08-31,Demand by customer,24.00
2018-09-01,Demand by supplier,14.06
2018-09-01,Demand by retailer,15.39
2018-09-01,Demand by customer,9.74
2018-09-02,Demand by supplier,14.52
2018-09-02,Demand by retailer,11.70
2018-09-02,Demand by customer,23.53
2018-09-03,Demand by supplier,14.42
2018-09-03,Demand by retailer,13.02
2018-09-03,Demand by customer,0.00
2018-09-04,Demand by supplier,11.62
2018-09-04,Demand by retailer,5.97
2018-09-04,Demand by customer,0.00
2018-09-05,Demand by supplier,7.51
2018-09-05,Demand by retailer,9.43
2018-09-05,Demand by customer,16.07
2018-09-06,Demand by supplier,8.74
2018-09-06,Demand by retailer,14.08
2018-09-06,Demand by customer,8.17
2018-09-07,Demand by supplier,12.44
2018-09-07,Demand by retailer,9.94
2018-09-07,Demand by customer,14.05
2018-09-08,Demand by supplier,10.58
2018-09-08,Demand by retailer,12.82
2018-09-08,Demand by customer,13.62
2018-09-09,Demand by supplier,12.09
2018-09-09,Demand by retailer,13.38
2018-09-09,Demand by customer,9.37
2018-09-10,Demand by supplier,12.94
2018-09-10,Demand by retailer,9.46
2018-09-10,Demand by customer,14.77
2018-09-11,Demand by supplier,10.40
2018-09-11,Demand by retailer,9.44
2018-09-11,Demand by customer,11.06
2018-09-12,Demand by supplier,9.62
2018-09-12,Demand by retailer,10.57
2018-09-12,Demand by customer,0.00
2018-09-13,Demand by supplier,10.19
2018-09-13,Demand by retailer,3.17
2018-09-13,Demand by customer,11.53
2018-09-14,Demand by supplier,5.14
2018-09-14,Demand by retailer,9.02
2018-09-14,Demand by customer,11.30
2018-09-15,Demand by supplier,7.75
2018-09-15,Demand by retailer,10.62
2018-09-15,Demand by customer,22.83
2018-09-16,Demand by supplier,9.67
2018-09-16,Demand by retailer,19.17
2018-09-16,Demand by customer,2.10
2018-09-17,Demand by supplier,16.41
2018-09-17,Demand by retailer,7.22
2018-09-17,Demand by customer,10.12
2018-09-18,Demand by supplier,9.86
2018-09-18,Demand by retailer,9.25
2018-09-18,Demand by customer,7.03
2018-09-19,Demand by supplier,12.66
2018-09-19,Demand by retailer,7.88
2018-09-19,Demand by customer,9.07
2018-09-20,Demand by supplier,10.72
2018-09-20,Demand by retailer,8.71
2018-09-20,Demand by customer,21.61
2018-09-21,Demand by supplier,9.63
2018-09-21,Demand by retailer,14.65
2018-09-21,Demand by customer,12.65
2018-09-22,Demand by supplier,13.13
2018-09-22,Demand by retailer,13.25
2018-09-22,Demand by customer,6.75
2018-09-23,Demand by supplier,13.18
2018-09-23,Demand by retailer,8.70
2018-09-23,Demand by customer,11.08
2018-09-24,Demand by supplier,9.94
2018-09-24,Demand by retailer,10.36
2018-09-24,Demand by customer,15.36
2018-09-25,Demand by supplier,10.16
2018-09-25,Demand by retailer,12.24
2018-09-25,Demand by customer,3.04
2018-09-26,Demand by supplier,11.56
2018-09-26,Demand by retailer,5.80
2018-09-26,Demand by customer,8.15
2018-09-27,Demand by supplier,7.41
2018-09-27,Demand by retailer,7.44
2018-09-27,Demand by customer,20.80
2018-09-28,Demand by supplier,7.33
2018-09-28,Demand by retailer,16.79
2018-09-28,Demand by customer,15.99
2018-09-29,Demand by supplier,13.99
2018-09-29,Demand by retailer,14.37
2018-09-29,Demand by customer,9.69
2018-09-30,Demand by supplier,14.24
2018-09-30,Demand by retailer,11.09
2018-09-30,Demand by customer,6.66
2018-10-01,Demand by supplier,11.97
2018-10-01,Demand by retailer,7.99
2018-10-01,Demand by customer,8.92
2018-10-02,Demand by supplier,9.08
2018-10-02,Demand by retailer,8.64
2018-10-02,Demand by customer,0.00
2018-10-03,Demand by supplier,10.58
2018-10-03,Demand by retailer,4.19
2018-10-03,Demand by customer,16.60
2018-10-04,Demand by supplier,5.99
2018-10-04,Demand by retailer,12.88
2018-10-04,Demand by customer,12.39
2018-10-05,Demand by supplier,10.77
2018-10-05,Demand by retailer,12.53
2018-10-05,Demand by customer,10.97
2018-10-06,Demand by supplier,11.96
2018-10-06,Demand by retailer,11.44
2018-10-06,Demand by customer,0.92
2018-10-07,Demand by supplier,11.54
