Date, Freshness 
2018-08-23,0.84
2018-08-24,0.84
2018-08-25,0.00
2018-08-26,0.39
2018-08-27,0.53
2018-08-28,0.54
2018-08-29,0.54
2018-08-30,0.72
2018-08-31,0.78
2018-09-01,0.82
2018-09-02,0.77
2018-09-03,0.00
2018-09-04,0.00
2018-09-05,0.52
2018-09-06,0.53
2018-09-07,0.51
2018-09-08,0.51
2018-09-09,0.50
2018-09-10,0.40
2018-09-11,0.35
2018-09-12,0.00
2018-09-13,0.48
2018-09-14,0.73
2018-09-15,0.80
2018-09-16,0.50
2018-09-17,0.59
2018-09-18,0.50
2018-09-19,0.42
2018-09-20,0.47
2018-09-21,0.68
2018-09-22,0.67
2018-09-23,0.63
2018-09-24,0.71
2018-09-25,0.53
2018-09-26,0.62
2018-09-27,0.76
2018-09-28,0.86
2018-09-29,0.76
2018-09-30,0.64
2018-10-01,0.53
2018-10-02,0.00
2018-10-03,0.36
2018-10-04,0.46
2018-10-05,0.59
2018-10-06,0.50
2018-10-07,0.25
2018-10-08,0.26
2018-10-09,0.25
2018-10-10,0.25
2018-10-11,0.38
2018-10-12,0.64
2018-10-13,0.63
2018-10-14,0.50
2018-10-15,0.37
2018-10-16,0.25
2018-10-17,0.39
2018-10-18,0.53
2018-10-19,0.55
2018-10-20,0.50
2018-10-21,0.25
2018-10-22,0.25
2018-10-23,0.25
2018-10-24,0.31
2018-10-25,0.33
2018-10-26,0.40
2018-10-27,0.59
2018-10-28,0.77
2018-10-29,0.81
2018-10-30,0.85
2018-10-31,0.84
2018-11-01,0.75
2018-11-02,0.80
2018-11-03,0.76
2018-11-04,0.54
2018-11-05,0.50
2018-11-06,0.39
2018-11-07,0.37
2018-11-08,0.37
2018-11-09,0.25
2018-11-10,0.25
2018-11-11,0.00
2018-11-12,0.43
2018-11-13,0.61
2018-11-14,0.70
2018-11-15,0.70
2018-11-16,0.00
2018-11-17,0.25
2018-11-18,0.25
2018-11-19,0.38
2018-11-20,0.50
2018-11-21,0.25
2018-11-22,0.25
2018-11-23,0.00
2018-11-24,0.00
2018-11-25,0.25
2018-11-26,0.33
2018-11-27,0.44
2018-11-28,0.56
2018-11-29,0.74
2018-11-30,0.83
2018-12-01,0.82
2018-12-02,0.79
2018-12-03,0.00
2018-12-04,0.47
2018-12-05,0.66
2018-12-06,0.50
2018-12-07,0.25
2018-12-08,0.25
2018-12-09,0.25
2018-12-10,0.25
2018-12-11,0.25
2018-12-12,0.39
2018-12-13,0.76
2018-12-14,0.85
2018-12-15,0.00
2018-12-16,0.61
2018-12-17,0.64
2018-12-18,0.63
2018-12-19,0.66
2018-12-20,0.00
2018-12-21,0.36
2018-12-22,0.00
2018-12-23,0.25
2018-12-24,0.25
2018-12-25,0.39
2018-12-26,0.74
2018-12-27,0.00
2018-12-28,0.60
2018-12-29,0.85
2018-12-30,0.80
2018-12-31,0.74
2019-01-01,0.50
2019-01-02,0.54
2019-01-03,0.58
2019-01-04,0.50
2019-01-05,0.33
2019-01-06,0.25
2019-01-07,0.25
2019-01-08,0.36
2019-01-09,0.43
2019-01-10,0.66
2019-01-11,0.81
2019-01-12,0.81
2019-01-13,0.81
2019-01-14,0.50
2019-01-15,0.48
2019-01-16,0.48
2019-01-17,0.40
2019-01-18,0.34
2019-01-19,0.25
2019-01-20,0.25
2019-01-21,0.25
2019-01-22,0.25
2019-01-23,0.51
2019-01-24,0.86
2019-01-25,0.66
2019-01-26,0.70
2019-01-27,0.70
2019-01-28,0.63
2019-01-29,0.64
2019-01-30,0.72
2019-01-31,0.72
2019-02-01,0.83
2019-02-02,0.81
2019-02-03,0.78
2019-02-04,0.80
2019-02-05,0.84
2019-02-06,0.64
2019-02-07,0.71
2019-02-08,0.74
2019-02-09,0.77
2019-02-10,0.82
2019-02-11,0.70
2019-02-12,0.00
2019-02-13,0.67
2019-02-14,0.84
2019-02-15,0.50
2019-02-16,0.46
2019-02-17,0.48
2019-02-18,0.00
2019-02-19,0.25
2019-02-20,0.25
2019-02-21,0.25
2019-02-22,0.38
2019-02-23,0.50
2019-02-24,0.61
2019-02-25,0.77
2019-02-26,0.83
2019-02-27,0.75
2019-02-28,0.77
2019-03-01,0.83
2019-03-02,0.80
2019-03-03,0.50
2019-03-04,0.66
2019-03-05,0.77
2019-03-06,0.67
2019-03-07,0.00
2019-03-08,0.48
2019-03-09,0.50
2019-03-10,0.25
2019-03-11,0.25
2019-03-12,0.25
2019-03-13,0.28
2019-03-14,0.28
2019-03-15,0.00
2019-03-16,0.36
2019-03-17,0.49
2019-03-18,0.46
2019-03-19,0.56
2019-03-20,0.78
2019-03-21,0.71
2019-03-22,0.74
2019-03-23,0.66
2019-03-24,0.00
2019-03-25,0.25
2019-03-26,0.25
2019-03-27,0.25
2019-03-28,0.32
2019-03-29,0.25
2019-03-30,0.33
2019-03-31,0.48
2019-04-01,0.00
2019-04-02,0.54
2019-04-03,0.54
2019-04-04,0.65
2019-04-05,0.77
2019-04-06,0.83
2019-04-07,0.65
2019-04-08,0.74
2019-04-09,0.71
2019-04-10,0.00
2019-04-11,0.25
2019-04-12,0.25
2019-04-13,0.25
2019-04-14,0.25
2019-04-15,0.36
2019-04-16,0.43
2019-04-17,0.48
2019-04-18,0.50
2019-04-19,0.67
2019-04-20,0.50
2019-04-21,0.76
2019-04-22,0.50
2019-04-23,0.56
2019-04-24,0.69
2019-04-25,0.00
2019-04-26,0.29
2019-04-27,0.30
2019-04-28,0.25
2019-04-29,0.25
