Date, node, time since harvest, inventory quantity 
2018-08-23,supplier,9,0.00
2018-08-23,supplier,8,0.00
2018-08-23,supplier,7,0.00
2018-08-23,supplier,6,0.00
2018-08-23,supplier,5,4.32
2018-08-23,supplier,4,2.99
2018-08-23,supplier,3,6.64
2018-08-23,supplier,2,0.00
2018-08-23,supplier,1,0.00
2018-08-23,supplier,0,0.00
2018-08-23,retailer,9,0.00
2018-08-23,retailer,8,2.17
2018-08-23,retailer,7,1.42
2018-08-23,retailer,6,3.39
2018-08-23,retailer,5,0.00
2018-08-23,retailer,4,0.00
2018-08-23,retailer,3,0.00
2018-08-23,retailer,2,0.00
2018-08-23,retailer,1,0.00
2018-08-23,retailer,0,0.00
2018-08-24,supplier,9,0.00
2018-08-24,supplier,8,0.00
2018-08-24,supplier,7,0.00
2018-08-24,supplier,6,0.00
2018-08-24,supplier,5,1.14
2018-08-24,supplier,4,1.11
2018-08-24,supplier,3,2.74
2018-08-24,supplier,2,0.00
2018-08-24,supplier,1,0.00
2018-08-24,supplier,0,0.00
2018-08-24,retailer,9,0.00
2018-08-24,retailer,8,1.15
2018-08-24,retailer,7,2.66
2018-08-24,retailer,6,5.63
2018-08-24,retailer,5,0.00
2018-08-24,retailer,4,0.00
2018-08-24,retailer,3,0.00
2018-08-24,retailer,2,0.00
2018-08-24,retailer,1,0.00
2018-08-24,retailer,0,0.00
2018-08-25,supplier,9,0.00
2018-08-25,supplier,8,0.00
2018-08-25,supplier,7,0.00
2018-08-25,supplier,6,0.00
2018-08-25,supplier,5,2.32
2018-08-25,supplier,4,2.42
2018-08-25,supplier,3,6.66
2018-08-25,supplier,2,0.00
2018-08-25,supplier,1,0.00
2018-08-25,supplier,0,0.00
2018-08-25,retailer,9,1.15
2018-08-25,retailer,8,6.30
2018-08-25,retailer,7,8.02
2018-08-25,retailer,6,5.14
2018-08-25,retailer,5,0.00
2018-08-25,retailer,4,0.00
2018-08-25,retailer,3,0.00
2018-08-25,retailer,2,0.00
2018-08-25,retailer,1,0.00
