Date, node, time since harvest, inventory quantity 
2018-08-23,supplier,9,12.68
2018-08-23,supplier,8,14.69
2018-08-23,supplier,7,11.60
2018-08-23,supplier,6,4.24
2018-08-23,supplier,5,0.00
2018-08-23,supplier,4,12.41
2018-08-23,supplier,3,11.69
2018-08-23,supplier,2,7.90
2018-08-23,supplier,1,0.00
2018-08-23,supplier,0,0.00
2018-08-23,retailer,9,12.41
2018-08-23,retailer,8,14.59
2018-08-23,retailer,7,0.00
2018-08-23,retailer,6,0.00
2018-08-23,retailer,5,0.00
2018-08-23,retailer,4,0.00
2018-08-23,retailer,3,0.00
2018-08-23,retailer,2,0.00
2018-08-23,retailer,1,0.00
2018-08-23,retailer,0,0.00
2018-08-24,supplier,9,14.69
2018-08-24,supplier,8,11.60
2018-08-24,supplier,7,4.24
2018-08-24,supplier,6,0.00
2018-08-24,supplier,5,0.00
2018-08-24,supplier,4,10.88
2018-08-24,supplier,3,11.63
2018-08-24,supplier,2,6.84
2018-08-24,supplier,1,0.00
2018-08-24,supplier,0,0.00
2018-08-24,retailer,9,14.59
2018-08-24,retailer,8,15.58
2018-08-24,retailer,7,0.00
2018-08-24,retailer,6,0.00
2018-08-24,retailer,5,0.00
2018-08-24,retailer,4,0.00
2018-08-24,retailer,3,0.00
2018-08-24,retailer,2,0.00
2018-08-24,retailer,1,0.00
2018-08-24,retailer,0,0.00
2018-08-25,supplier,9,11.60
2018-08-25,supplier,8,4.24
2018-08-25,supplier,7,0.00
2018-08-25,supplier,6,0.00
2018-08-25,supplier,5,0.00
2018-08-25,supplier,4,14.20
2018-08-25,supplier,3,11.20
2018-08-25,supplier,2,6.81
2018-08-25,supplier,1,0.00
2018-08-25,supplier,0,0.00
2018-08-25,retailer,9,15.58
2018-08-25,retailer,8,12.48
2018-08-25,retailer,7,0.00
2018-08-25,retailer,6,0.00
2018-08-25,retailer,5,0.00
2018-08-25,retailer,4,0.00
2018-08-25,retailer,3,0.00
2018-08-25,retailer,2,0.00
2018-08-25,retailer,1,0.00
2018-08-25,retailer,0,0.00
2018-08-26,supplier,9,4.24
2018-08-26,supplier,8,0.00
2018-08-26,supplier,7,0.00
2018-08-26,supplier,6,0.00
2018-08-26,supplier,5,0.00
2018-08-26,supplier,4,16.56
2018-08-26,supplier,3,11.55
2018-08-26,supplier,2,6.80
2018-08-26,supplier,1,0.00
2018-08-26,supplier,0,0.00
2018-08-26,retailer,9,12.48
2018-08-26,retailer,8,16.21
2018-08-26,retailer,7,0.00
2018-08-26,retailer,6,0.00
2018-08-26,retailer,5,0.00
2018-08-26,retailer,4,0.00
2018-08-26,retailer,3,0.00
2018-08-26,retailer,2,0.00
2018-08-26,retailer,1,0.00
2018-08-26,retailer,0,0.00
2018-08-27,supplier,9,0.00
2018-08-27,supplier,8,0.00
2018-08-27,supplier,7,0.00
2018-08-27,supplier,6,0.00
2018-08-27,supplier,5,1.39
2018-08-27,supplier,4,18.15
2018-08-27,supplier,3,11.70
2018-08-27,supplier,2,12.99
2018-08-27,supplier,1,0.00
2018-08-27,supplier,0,0.00
2018-08-27,retailer,9,12.96
2018-08-27,retailer,8,13.12
2018-08-27,retailer,7,0.88
2018-08-27,retailer,6,0.00
2018-08-27,retailer,5,0.00
2018-08-27,retailer,4,0.00
2018-08-27,retailer,3,0.00
2018-08-27,retailer,2,0.00
2018-08-27,retailer,1,0.00
2018-08-27,retailer,0,0.00
2018-08-28,supplier,9,0.00
2018-08-28,supplier,8,0.00
2018-08-28,supplier,7,0.00
2018-08-28,supplier,6,1.39
2018-08-28,supplier,5,2.59
2018-08-28,supplier,4,16.99
2018-08-28,supplier,3,19.31
2018-08-28,supplier,2,15.05
2018-08-28,supplier,1,0.00
2018-08-28,supplier,0,0.00
2018-08-28,retailer,9,13.12
2018-08-28,retailer,8,13.28
2018-08-28,retailer,7,3.08
2018-08-28,retailer,6,0.00
2018-08-28,retailer,5,0.00
2018-08-28,retailer,4,0.00
2018-08-28,retailer,3,0.00
2018-08-28,retailer,2,0.00
2018-08-28,retailer,1,0.00
2018-08-28,retailer,0,0.00
2018-08-29,supplier,9,0.00
2018-08-29,supplier,8,0.00
2018-08-29,supplier,7,1.39
2018-08-29,supplier,6,2.59
2018-08-29,supplier,5,3.25
2018-08-29,supplier,4,22.89
2018-08-29,supplier,3,22.58
2018-08-29,supplier,2,14.65
2018-08-29,supplier,1,0.00
2018-08-29,supplier,0,0.00
2018-08-29,retailer,9,13.28
2018-08-29,retailer,8,13.95
2018-08-29,retailer,7,2.45
2018-08-29,retailer,6,0.00
2018-08-29,retailer,5,0.00
2018-08-29,retailer,4,0.00
2018-08-29,retailer,3,0.00
2018-08-29,retailer,2,0.00
2018-08-29,retailer,1,0.00
2018-08-29,retailer,0,0.00
2018-08-30,supplier,9,0.00
2018-08-30,supplier,8,1.39
2018-08-30,supplier,7,2.59
2018-08-30,supplier,6,3.25
2018-08-30,supplier,5,9.58
2018-08-30,supplier,4,27.43
2018-08-30,supplier,3,20.10
2018-08-30,supplier,2,10.73
2018-08-30,supplier,1,0.00
2018-08-30,supplier,0,0.00
2018-08-30,retailer,9,4.69
2018-08-30,retailer,8,16.65
2018-08-30,retailer,7,0.01
2018-08-30,retailer,6,0.00
2018-08-30,retailer,5,0.00
2018-08-30,retailer,4,0.00
2018-08-30,retailer,3,0.00
2018-08-30,retailer,2,0.00
