Date, Waste 
2018-08-23,0.00
2018-08-24,0.00
2018-08-25,2.52
2018-08-26,11.37
2018-08-27,10.83
2018-08-28,23.00
2018-08-29,15.56
2018-08-30,5.14
2018-08-31,8.21
2018-09-01,0.83
2018-09-02,0.00
2018-09-03,0.00
2018-09-04,8.44
2018-09-05,0.00
2018-09-06,3.38
2018-09-07,1.47
2018-09-08,12.52
2018-09-09,28.44
2018-09-10,14.85
2018-09-11,8.83
2018-09-12,9.36
2018-09-13,0.60
2018-09-14,0.83
2018-09-15,0.00
2018-09-16,0.00
2018-09-17,0.00
2018-09-18,0.88
2018-09-19,6.34
2018-09-20,12.67
2018-09-21,12.07
2018-09-22,25.44
2018-09-23,7.12
2018-09-24,5.28
2018-09-25,1.44
2018-09-26,2.09
2018-09-27,0.00
2018-09-28,0.00
2018-09-29,0.00
2018-09-30,0.00
2018-10-01,4.70
2018-10-02,34.10
2018-10-03,9.78
2018-10-04,4.19
2018-10-05,11.96
2018-10-06,16.60
2018-10-07,3.63
2018-10-08,0.00
2018-10-09,0.00
2018-10-10,6.90
2018-10-11,0.00
2018-10-12,0.00
2018-10-13,4.72
2018-10-14,26.11
2018-10-15,21.79
2018-10-16,17.69
2018-10-17,2.21
2018-10-18,0.00
2018-10-19,0.00
2018-10-20,8.02
2018-10-21,9.50
2018-10-22,3.11
2018-10-23,3.72
2018-10-24,4.41
2018-10-25,23.09
2018-10-26,11.39
2018-10-27,9.81
2018-10-28,3.40
2018-10-29,3.93
2018-10-30,0.00
2018-10-31,0.00
2018-11-01,0.00
2018-11-02,0.00
2018-11-03,0.00
2018-11-04,0.00
2018-11-05,7.20
2018-11-06,10.95
2018-11-07,23.70
2018-11-08,8.06
2018-11-09,17.23
2018-11-10,7.96
2018-11-11,9.09
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.00
2018-11-15,0.00
2018-11-16,5.90
2018-11-17,12.87
2018-11-18,10.54
2018-11-19,11.15
2018-11-20,15.93
2018-11-21,19.16
2018-11-22,13.07
2018-11-23,7.40
2018-11-24,11.42
2018-11-25,6.57
2018-11-26,3.35
2018-11-27,3.08
2018-11-28,0.00
2018-11-29,0.00
2018-11-30,0.00
2018-12-01,8.77
2018-12-02,5.72
2018-12-03,10.83
2018-12-04,3.79
2018-12-05,0.25
2018-12-06,12.02
2018-12-07,8.70
2018-12-08,12.39
2018-12-09,12.74
2018-12-10,10.88
2018-12-11,3.37
2018-12-12,6.04
2018-12-13,10.27
2018-12-14,8.47
2018-12-15,7.24
2018-12-16,1.30
2018-12-17,5.72
2018-12-18,3.21
2018-12-19,2.03
2018-12-20,12.54
2018-12-21,2.19
2018-12-22,13.40
2018-12-23,19.06
2018-12-24,11.83
2018-12-25,9.98
2018-12-26,0.74
2018-12-27,3.64
2018-12-28,0.00
2018-12-29,0.00
2018-12-30,0.00
2018-12-31,0.00
2019-01-01,9.38
2019-01-02,0.00
2019-01-03,3.92
2019-01-04,26.54
2019-01-05,18.31
2019-01-06,5.73
2019-01-07,9.52
2019-01-08,0.00
2019-01-09,0.00
2019-01-10,0.00
2019-01-11,0.00
2019-01-12,0.00
2019-01-13,0.00
2019-01-14,0.00
2019-01-15,17.85
2019-01-16,16.94
2019-01-17,4.80
2019-01-18,12.77
2019-01-19,10.35
2019-01-20,11.31
2019-01-21,0.00
2019-01-22,3.95
2019-01-23,0.00
2019-01-24,0.00
2019-01-25,0.00
2019-01-26,0.00
2019-01-27,1.68
2019-01-28,6.43
2019-01-29,0.55
2019-01-30,3.69
2019-01-31,13.26
2019-02-01,4.80
2019-02-02,2.93
2019-02-03,0.97
2019-02-04,0.00
2019-02-05,0.00
